pick,rich_hill_points,inferred
1,1000,False
2,717,False
3,514,False
4,491,False
5,468,False
6,446,False
7,426,False
8,406,False
9,387,False
10,369,False
11,358,False
12,347,False
13,336,False
14,325,False
15,315,False
16,305,False
17,296,False
18,287,False
19,278,False
20,269,False
21,261,False
22,253,False
23,245,False
24,237,False
25,230,False
26,223,False
27,216,False
28,209,False
29,202,False
30,196,False
31,190,False
32,184,False
33,180,False
34,175,False
35,170,False
36,166,False
37,162,False
38,157,False
39,153,False
40,149,False
41,146,False
42,142,False
43,138,False
44,135,False
45,131,False
46,128,False
47,124,False
48,121,False
49,118,False
50,115,False
51,112,False
52,109,False
53,106,False
54,104,False
55,101,False
56,98,False
57,96,False
58,93,False
59,91,False
60,88,False
61,86,False
62,84,False
63,82,False
64,80,False
65,78,False
66,76,False
67,75,False
68,73,False
69,71,False
70,70,False
71,68,False
72,67,False
73,65,False
74,64,False
75,63,False
76,61,False
77,60,False
78,59,False
79,57,False
80,56,False
81,55,False
82,54,False
83,52,False
84,51,False
85,50,False
86,49,False
87,48,False
88,47,False
89,46,False
90,45,False
91,44,False
92,43,False
93,42,False
94,41,False
95,40,False
96,39,False
97,38,False
98,37,False
99,36,False
100,35,False
101,34,False
102,34,False
103,33,False
104,33,False
105,32,False
106,32,False
107,31,False
108,31,False
109,30,False
110,30,False
111,29,False
112,29,False
113,28,False
114,28,False
115,27,False
116,26,False
117,26,False
118,25,False
119,25,False
120,24,False
121,24,False
122,23,False
123,23,False
124,22,False
125,21,False
126,21,False
127,20,False
128,20,False
129,19,False
130,19,False
131,18,False
132,18,False
133,18,False
134,17,False
135,17,False
136,17,False
137,16,False
138,16,False
139,15,False
140,15,False
141,15,False
142,14,False
143,14,False
144,14,False
145,13,False
146,13,False
147,13,False
148,13,False
149,12,False
150,12,False
151,12,False
152,12,False
153,11,False
154,11,False
155,11,False
156,11,False
157,10,False
158,10,False
159,10,False
160,10,False
161,10,False
162,10,False
163,10,False
164,9,False
165,9,False
166,9,False
167,9,False
168,9,False
169,9,False
170,9,False
171,9,False
172,9,False
173,8,False
174,8,False
175,8,False
176,8,False
177,8,False
178,8,False
179,8,False
180,8,True
181,7,False
182,7,False
183,7,False
184,7,False
185,7,False
186,7,False
187,7,False
188,7,False
189,6,False
190,6,False
191,6,False
192,6,False
193,6,False
194,6,False
195,6,False
196,6,False
197,5,False
198,5,False
199,5,False
200,5,False
201,5,False
202,5,False
203,5,False
204,5,False
205,5,False
206,4,False
207,4,False
208,4,False
209,4,False
210,4,False
211,4,False
212,4,False
213,4,False
214,4,False
215,4,False
216,5,False
217,4,False
218,4,False
219,4,False
220,4,False
221,4,False
222,4,False
223,3,False
224,3,False
225,3,False
226,3,False
227,3,False
228,3,False
229,3,False
230,3,False
231,3,False
232,3,False
233,2,False
234,2,False
235,2,False
236,2,False
237,2,False
238,2,False
239,2,False
240,2,False
241,2,False
242,2,False
243,2,False
244,2,False
245,1,False
246,1,False
247,1,False
248,1,False
249,1,False
250,1,False
251,1,False
252,1,False
253,1,False
254,1,False
255,1,False
256,1,False
257,1,False
